threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.5697463768115942,0.8397863818424566,0.6788990825688074,0.9309743515221972,0.0690256484778028,0.1602136181575434,0.7707607333646538,1258,950,240,12813
0.11,0.5866916588566073,0.835781041388518,0.6894273127753304,0.935915134781661,0.06408486521833902,0.16421895861148197,0.771696176170179,1252,882,246,12881
0.12,0.6045388701110574,0.835781041388518,0.7015970860184926,0.9404926251543995,0.05950737484560052,0.16421895861148197,0.7762736665429175,1252,819,246,12944
0.13,0.6188118811881188,0.8344459279038718,0.7106310403638431,0.9440528954443071,0.0559471045556928,0.16555407209612816,0.778498823348179,1250,770,248,12993
0.14,0.6277777777777778,0.8297730307076101,0.7147786083956297,0.946450628496694,0.053549371503305965,0.17022696929238984,0.7762236592043041,1243,737,255,13026
0.15,0.6354755784061696,0.8251001335113485,0.7179785071158872,0.9484850686623556,0.05151493133764441,0.17489986648865152,0.7735852021737041,1236,709,262,13054
0.16,0.6478947368421053,0.821762349799733,0.7245438493231312,0.9513914117561578,0.048608588243842184,0.17823765020026702,0.7731537615558908,1231,669,267,13094
0.17,0.6616216216216216,0.8170894526034713,0.7311827956989249,0.9545157305819952,0.0454842694180048,0.1829105473965287,0.7716051831854666,1224,626,274,13137
0.18,0.6708930540242558,0.8124165554072096,0.7349033816425121,0.9566228293250019,0.04337717067499818,0.1875834445927904,0.7690393847322115,1217,597,281,13166
0.19,0.6888131743327655,0.8097463284379173,0.7444001227370359,0.9601830996149096,0.03981690038509046,0.19025367156208278,0.7699294280528268,1213,548,285,13215
0.2,0.7035527082119977,0.8064085447263017,0.7514774494556765,0.9630167841313667,0.03698321586863329,0.19359145527369825,0.7694253288576685,1208,509,290,13254
0.21,0.7141162514827996,0.8037383177570093,0.7562814070351759,0.9649785657196832,0.035021434280316795,0.19626168224299065,0.7687168834766925,1204,482,294,13281
0.22,0.7249093107617895,0.8004005340453939,0.7607868020304568,0.9669403473079997,0.03305965269200029,0.19959946595460615,0.7673408813533936,1199,455,299,13308
0.23,0.7303233679072605,0.7990654205607477,0.7631495058973541,0.9678849088134854,0.032115091186514566,0.20093457943925233,0.7669503293742331,1197,442,301,13321
0.24,0.7414755114693118,0.7983978638184246,0.7688846030215365,0.9697013732471118,0.030298626752888178,0.20160213618157544,0.7680992370655364,1196,417,302,13346
0.25,0.7503144654088051,0.7963951935914553,0.7726683937823833,0.971154544794013,0.028845455205987067,0.20360480640854473,0.7675497383854682,1193,397,305,13366
0.26,0.7644415917843389,0.7950600801068091,0.7794502617801046,0.9733343021143646,0.0266656978856354,0.2049399198931909,0.7683943822211736,1191,367,307,13396
0.27,0.7674870466321243,0.7910547396528705,0.7790927021696252,0.9739155707331251,0.026084429266874955,0.2089452603471295,0.7649703103859956,1185,359,313,13404
0.28,0.7727570399476097,0.787716955941255,0.7801652892561983,0.9747874736612657,0.025212526338734286,0.21228304405874499,0.7625044296025207,1180,347,318,13416
0.29,0.7787318361955086,0.7870493991989319,0.7828685258964143,0.9756593765894064,0.02434062341059362,0.2129506008010681,0.7627087757883383,1179,335,319,13428
0.3,0.7859531772575251,0.7843791722296395,0.7851653859004343,0.9767492552495822,0.023250744750417787,0.21562082777036048,0.7611284274792217,1175,320,323,13443
0.31,0.7927076299797434,0.7837116154873164,0.7881839543470963,0.977693816755068,0.022306183244932064,0.2162883845126836,0.7614054322423843,1174,307,324,13456
0.32,0.797683923705722,0.7817089452603472,0.7896156439649359,0.9784204025285185,0.02157959747148151,0.21829105473965288,0.7601293477888657,1171,297,327,13466
0.33,0.8066298342541437,0.7797062750333779,0.792939579090292,0.9796555983433844,0.020344401656615562,0.22029372496662217,0.7593618733767623,1168,280,330,13483
0.34,0.8155680224403927,0.7763684913217623,0.7954856361149111,0.9808907941582504,0.01910920584174962,0.22363150867823764,0.7572592854800128,1163,263,335,13500
0.35,0.8243243243243243,0.7736982643524699,0.7982093663911846,0.9820533313957712,0.01794666860422873,0.22630173564753003,0.7557515957482411,1159,247,339,13516
0.36,0.8308243727598567,0.7736982643524699,0.8012443829934324,0.9828525757465669,0.017147424253433116,0.22630173564753003,0.7565508400990368,1159,236,339,13527
0.37,0.8341744772891132,0.7723631508678238,0.8020797227036395,0.9832885272106372,0.016711472789362785,0.22763684913217624,0.755651678078461,1157,230,341,13533
0.38,0.8384057971014492,0.7723631508678238,0.8040305767894371,0.9837971372520526,0.016202862747947397,0.22763684913217624,0.7561602881198765,1157,223,341,13540
0.39,0.8439095550692924,0.7723631508678238,0.8065528058556989,0.9844510644481581,0.015548935551841895,0.22763684913217624,0.7568142153159819,1157,214,341,13549
0.4,0.8494860499265786,0.7723631508678238,0.8090909090909091,0.9851049916442636,0.014895008355736395,0.22763684913217624,0.7574681425120874,1157,205,341,13558
0.41,0.8526160648489315,0.7723631508678238,0.810507880910683,0.9854682845309889,0.014531715469011117,0.22763684913217624,0.7578314353988127,1157,200,341,13563
0.42,0.8562962962962963,0.7716955941255007,0.8117977528089889,0.9859042359950592,0.014095764004940784,0.22830440587449932,0.7575998301205599,1156,194,342,13569
0.43,0.8562918838421445,0.7676902536715621,0.809574093629004,0.9859768945724042,0.014023105427595727,0.23230974632843793,0.7536671482439663,1150,193,348,13570
0.44,0.8606927710843374,0.7630173564753004,0.8089171974522292,0.9865581631911647,0.013441836808835282,0.2369826435246996,0.7495755196664652,1143,185,355,13578
0.45,0.8649468892261002,0.7610146862483311,0.8096590909090909,0.9870667732325801,0.012933226767419894,0.2389853137516689,0.7480814594809112,1140,178,358,13585
