threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.5030949105914718,0.7264150943396226,0.5944737911418122,0.8876535531021614,0.1123464468978386,0.27358490566037735,0.614068647441784,1463,1445,551,11417
0.11,0.5243857719105244,0.7100297914597815,0.6032482598607889,0.8991603172134971,0.10083968278650288,0.2899702085402185,0.6091901086732786,1430,1297,584,11565
0.12,0.5402387370042356,0.6966236345580934,0.6085447842116677,0.9071684030477375,0.09283159695226248,0.30337636544190666,0.6037920376058309,1403,1194,611,11668
0.13,0.5656606851549756,0.6886792452830188,0.6211374832064487,0.9171979474420774,0.08280205255792256,0.3113207547169811,0.6058771927250963,1387,1065,627,11797
0.14,0.58603066439523,0.6832174776564052,0.630903255387437,0.924428549214741,0.0755714507852589,0.31678252234359483,0.6076460268711463,1376,972,638,11890
0.15,0.6029087703834288,0.6792452830188679,0.6388045762316134,0.9299486860519359,0.07005131394806406,0.32075471698113206,0.6091939690708038,1368,901,646,11961
0.16,0.6191992720655141,0.6757696127110229,0.6462488129154796,0.9349245840460271,0.06507541595397294,0.3242303872889772,0.61069419675705,1361,837,653,12025
0.17,0.6350023397285914,0.6737835153922542,0.6538183570224043,0.9393562431970145,0.06064375680298554,0.32621648460774577,0.6131397585892687,1357,780,657,12082
0.18,0.650363196125908,0.6668321747765641,0.6584947291002696,0.9438656507541595,0.05613434924584046,0.33316782522343596,0.6106978255307236,1343,722,671,12140
0.19,0.6626924987580726,0.6623634558093346,0.6625279364291036,0.9472088322189395,0.05279116778106049,0.33763654419066536,0.6095722880282741,1334,679,680,12183
0.2,0.6726251276813074,0.653922542204568,0.663141993957704,0.9501632716529311,0.049836728347068884,0.346077457795432,0.6040858138574992,1317,641,697,12221
0.21,0.6932907348242812,0.6464746772591857,0.6690647482014389,0.9552169180531799,0.04478308194682009,0.3535253227408143,0.6016915953123656,1302,576,712,12286
0.22,0.7104972375690608,0.6385302879841113,0.6725941422594143,0.959259835173379,0.04074016482662105,0.3614697120158888,0.5977901231574902,1286,524,728,12338
0.23,0.7308571428571429,0.6350546176762661,0.6795961742826779,0.9633805006997357,0.03661949930026435,0.36494538232373386,0.5984351183760018,1279,471,735,12391
0.24,0.740139211136891,0.6335650446871897,0.6827180310326378,0.9651687140413622,0.034831285958637846,0.36643495531281034,0.5987337587285518,1276,448,738,12414
0.25,0.7517688679245284,0.6330685203574975,0.6873315363881403,0.9672679210076194,0.032732078992380655,0.3669314796425025,0.6003364413651169,1275,421,739,12441
