threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.5034836817015035,0.6817279046673287,0.5792026998523518,0.8947286580625097,0.10527134193749028,0.3182720953326713,0.5764565627298384,1373,1354,641,11508
0.11,0.522342064714946,0.6732869910625621,0.5882863340563991,0.9035919763644845,0.09640802363551547,0.32671300893743793,0.5768789674270466,1356,1240,658,11622
0.12,0.5401047964530431,0.6653426017874876,0.596218020022247,0.9112890685740942,0.08871093142590578,0.3346573982125124,0.5766316703615818,1340,1141,674,11721
0.13,0.5597140454163162,0.6608738828202582,0.6061020036429872,0.9185974187529156,0.08140258124708444,0.3391261171797418,0.5794713015731737,1331,1047,683,11815
0.14,0.57417943107221,0.6514399205561072,0.6103745056989998,0.9243508008085835,0.07564919919141658,0.3485600794438927,0.5757907213646907,1312,973,702,11889
0.15,0.5899543378995433,0.6415094339622641,0.6146527117031397,0.9301819312704089,0.06981806872959104,0.3584905660377358,0.571691365232673,1292,898,722,11964
0.16,0.6084250837721398,0.6310824230387289,0.6195466731659761,0.9364018037630228,0.06359819623697714,0.3689175769612711,0.5674842268017517,1271,818,743,12044
0.17,0.6230807330361565,0.6246276067527309,0.6238532110091742,0.9408334629140103,0.059166537085989734,0.3753723932472691,0.5654610696667411,1258,761,756,12101
0.18,0.6472727272727272,0.6186693147964251,0.6326478801726326,0.9472088322189395,0.05279116778106049,0.381330685203575,0.5658781470153645,1246,679,768,12183
0.19,0.6577967003725386,0.6137040714995035,0.634985872078089,0.9500077748406157,0.04999222515938423,0.38629592850049654,0.5637118463401192,1236,643,778,12219
0.2,0.6732673267326733,0.6077457795431976,0.6388308977035491,0.9538174467423418,0.046182553257658215,0.39225422045680236,0.5615632262855395,1224,594,790,12268
0.21,0.6867605633802817,0.6052631578947368,0.6434415413037741,0.9567718861763334,0.04322811382366661,0.39473684210526316,0.5620350440710702,1219,556,795,12306
0.22,0.6961516369902355,0.6017874875868917,0.6455392809587217,0.9588710931425906,0.04112890685740942,0.39821251241310823,0.5606585807294823,1212,529,802,12333
0.23,0.7064004697592484,0.5973187686196624,0.6472962066182405,0.9611257969211631,0.038874203078836884,0.4026812313803376,0.5584445655408254,1203,500,811,12362
0.24,0.719592570401438,0.5963257199602781,0.6521857181645399,0.9636137459182087,0.036386254081791324,0.40367428003972194,0.5599394658784868,1201,468,813,12394
0.25,0.7316625916870416,0.5943396226415094,0.6558904109589041,0.9658684496967812,0.03413155030321879,0.4056603773584906,0.5602080723382906,1197,439,817,12423
0.26,0.7406716417910447,0.5913604766633564,0.657647708448371,0.96757891463225,0.03242108536774996,0.4086395233366435,0.5589393912956064,1191,417,823,12445
0.27,0.7536600891152132,0.5878848063555114,0.6605299860529986,0.9699113668169802,0.03008863318301975,0.41211519364448856,0.5577961731724916,1184,387,830,12475
0.28,0.7656957928802589,0.5873882820258193,0.6647934813149762,0.9718550769709221,0.028144923029077906,0.4126117179741807,0.5592433589967414,1183,362,831,12500
0.29,0.7742782152230971,0.5858987090367428,0.6670435274166197,0.9732545482817603,0.026745451718239777,0.4141012909632572,0.559153257318503,1180,344,834,12518
0.3,0.7777777777777778,0.5839126117179742,0.6670448099829835,0.9738765355310216,0.026123464468978386,0.4160873882820258,0.5577891472489958,1176,336,838,12526
0.31,0.7845230153435624,0.5839126117179742,0.6695132365499572,0.9748872648110714,0.025112735188928627,0.4160873882820258,0.5587998765290455,1176,323,838,12539
0.32,0.7963340122199593,0.5824230387288977,0.6727846286205907,0.9766754781526978,0.02332452184730213,0.4175769612711023,0.5590985168815955,1173,300,841,12562
0.33,0.8034364261168385,0.5804369414101291,0.6739694436437014,0.9777639558389053,0.022236044161094697,0.4195630585898709,0.5582008972490344,1169,286,845,12576
0.34,0.8152554233729881,0.5784508440913605,0.6767354051699099,0.9794744207743741,0.020525579225625874,0.4215491559086395,0.5579252648657346,1165,264,849,12598
0.35,0.8269230769230769,0.5764647467725919,0.6793446459918081,0.9811071373036853,0.018892862696314724,0.42353525322740815,0.5575718840762771,1161,243,853,12619
0.36,0.8374277456647399,0.5754716981132075,0.6821659799882284,0.9825066086145234,0.0174933913854766,0.42452830188679247,0.557978306727731,1159,225,855,12637
0.37,0.84491587417703,0.5734856007944389,0.6832298136645962,0.9835173378945732,0.01648266210542684,0.42651439920556106,0.5570029386890121,1155,212,859,12650
0.38,0.8532246108228317,0.5714995034756704,0.6845078798691645,0.9846058155807806,0.015394184419219406,0.4285004965243297,0.556105319056451,1151,198,863,12664
0.39,0.8605697151424287,0.5700099304865939,0.6857825567502988,0.9855387964546727,0.01446120354532732,0.4299900695134062,0.5555487269412666,1148,186,866,12676
0.4,0.8679817905918058,0.5680238331678252,0.6866746698679471,0.9864717773285647,0.013528222671435235,0.43197616683217477,0.55449561049639,1144,174,870,12688
0.41,0.8711890243902439,0.5675273088381331,0.6873120865904991,0.9868605193593531,0.013139480640646867,0.43247269116186693,0.5543878281974862,1143,169,871,12693
0.42,0.8800309597523219,0.5645481628599801,0.6878402903811252,0.9879489970455606,0.012051002954439434,0.43545183714001984,0.5524971599055407,1137,155,877,12707
0.43,0.8853354134165367,0.5635551142005958,0.6887135922330097,0.9885709842948219,0.011429015705178043,0.43644488579940416,0.5521260984954177,1135,147,879,12715
0.44,0.8889763779527559,0.5605759682224429,0.6875761266747868,0.989037474731768,0.010962525268232002,0.4394240317775571,0.5496134429542109,1129,141,885,12721
0.45,0.8927720413026211,0.5580933465739821,0.6868316529178125,0.9895039651687141,0.010496034831285958,0.44190665342601787,0.5475973117426962,1124,135,890,12727
0.46,0.8952,0.5556107249255213,0.6856617647058824,0.9898149587933447,0.010185041206655263,0.4443892750744787,0.545425683718866,1119,131,895,12731
0.47,0.9023405972558515,0.5551142005958292,0.6873655087611437,0.9905924428549214,0.009407557145078526,0.4448857994041708,0.5457066434507506,1118,121,896,12741
0.48,0.9072416598860863,0.5536246276067527,0.6876349059512796,0.9911366816980252,0.00886331830197481,0.44637537239324726,0.5447613093047778,1115,114,899,12748
0.49,0.9130434782608695,0.5526315789473685,0.6885245901639344,0.9917586689472866,0.00824133105271342,0.4473684210526316,0.5443902478946551,1113,106,901,12756
0.5,0.916597853014038,0.551142005958292,0.6883720930232559,0.9921474109780749,0.00785258902192505,0.44885799404170806,0.5432894169363669,1110,101,904,12761
