threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.5901477832512315,0.9124143183549124,0.7167215076278791,0.9407660543927097,0.05923394560729033,0.08758568164508758,0.853180372747622,1198,832,115,13214
0.11,0.6023127199597788,0.9124143183549124,0.7256208358570563,0.9436850348853766,0.05631496511462338,0.08758568164508758,0.856099353240289,1198,791,115,13255
0.12,0.6122762148337596,0.9116527037319117,0.7325581395348837,0.9460344582087427,0.053965541791257295,0.08834729626808835,0.8576871619406543,1197,758,116,13288
0.13,0.6235662148070907,0.9108910891089109,0.740328071804395,0.9485974654705966,0.05140253452940339,0.0891089108910891,0.8594885545795076,1196,722,117,13324
0.14,0.6308510638297873,0.9032749428789033,0.7428750391481366,0.9505909155631497,0.049409084436850347,0.09672505712109672,0.853865858442053,1186,694,127,13352
0.15,0.6417666303162486,0.8964204112718964,0.748013981569749,0.9532251174711661,0.046774882528833835,0.10357958872810358,0.8496455287430625,1177,657,136,13389
0.16,0.6549413735343383,0.8933739527798934,0.7557989690721649,0.9560017086715079,0.043998291328492097,0.10662604722010663,0.8493756614514013,1173,618,140,13428
0.17,0.6676185037121645,0.8903274942878904,0.7630548302872064,0.9585647159333618,0.04143528406663819,0.10967250571210967,0.8488922102212522,1169,582,144,13464
0.18,0.679673849737915,0.8888042650418888,0.7702970297029704,0.9608429446105653,0.03915705538943472,0.11119573495811119,0.8496472096524541,1167,550,146,13496
0.19,0.6869822485207101,0.8842345773038842,0.7732267732267734,0.96233803217998,0.03766196782001993,0.11576542269611577,0.8465726094838643,1161,529,152,13517
0.2,0.6992753623188406,0.8819497334348819,0.78006062647356,0.964545066211021,0.03545493378897907,0.11805026656511805,0.8464947996459029,1158,498,155,13548
0.21,0.7110289587184226,0.8789032749428789,0.7861035422343324,0.9666097109497366,0.03339028905026342,0.1210967250571211,0.8455129858926155,1154,469,159,13577
0.22,0.7191011235955056,0.8773800456968773,0.790394511149228,0.9679624092268262,0.032037590773173856,0.12261995430312261,0.8453424549237035,1152,450,161,13596
0.23,0.7273877292852625,0.8758568164508759,0.7947477539737388,0.9693151075039157,0.030684892496084294,0.12414318354912414,0.8451719239547916,1150,431,163,13615
0.24,0.7354260089686099,0.8743335872048743,0.7988865692414753,0.9705966111348426,0.02940338886515734,0.12566641279512566,0.8449301983397169,1148,413,165,13633
0.25,0.744611365120836,0.8682406702208683,0.8016877637130801,0.97216289335042,0.027837106649579953,0.13175932977913177,0.8404035635712883,1140,391,173,13655
0.26,0.7571714476317545,0.8644325971058644,0.8072546230440967,0.9740851487968105,0.02591485120318952,0.13556740289413557,0.8385177459026749,1135,364,178,13682
0.27,0.7682926829268293,0.8636709824828637,0.8131946934385084,0.9756514310123878,0.024348568987612132,0.13632901751713633,0.8393224134952515,1134,342,179,13704
0.28,0.7816171389080857,0.8613861386138614,0.8195652173913044,0.9775024918126157,0.02249750818738431,0.13861386138613863,0.8388886304264771,1131,316,182,13730
0.29,0.7902097902097902,0.8606245239908606,0.8239154210718191,0.9786416061512174,0.021358393848782572,0.13937547600913938,0.8392661301420781,1130,300,183,13746
0.3,0.7966101694915254,0.8591012947448591,0.8266764382557712,0.9794959419051688,0.02050405809483127,0.1408987052551409,0.8385972366500278,1128,288,185,13758
0.31,0.8011363636363636,0.8591012947448591,0.8291069459757442,0.9800654990744696,0.0199345009255304,0.1408987052551409,0.8391667938193287,1128,280,185,13766
0.32,0.8068669527896996,0.8591012947448591,0.83216525267429,0.9807774455360957,0.019222554463904314,0.1408987052551409,0.8398787402809548,1128,270,185,13776
0.33,0.815028901734104,0.8591012947448591,0.8364849833147942,0.9817741705823722,0.018225829417627796,0.1408987052551409,0.8408754653272312,1128,256,185,13790
0.34,0.8178519593613933,0.8583396801218584,0.8376068376068376,0.9821301438131852,0.01786985618681475,0.14166031987814165,0.8404698239350435,1127,251,186,13795
0.35,0.8241758241758241,0.8568164508758568,0.8401792382374906,0.982913284920974,0.01708671507902606,0.1431835491241432,0.8397297357968307,1125,240,188,13806
0.36,0.8314773570898293,0.853008377760853,0.8421052631578948,0.9838388153210879,0.016161184678912147,0.146991622239147,0.8368471930819409,1120,227,193,13819
0.37,0.8398496240601504,0.8507235338918507,0.845251608021188,0.9848355403673644,0.015164459632635626,0.14927646610814926,0.8355590742592152,1117,213,196,13833
0.38,0.846095526914329,0.84996191926885,0.8480243161094225,0.9855474868289904,0.01445251317100954,0.15003808073115005,0.8355094060978405,1116,203,197,13843
0.39,0.851258581235698,0.84996191926885,0.850609756097561,0.9861170439982914,0.013882956001708672,0.15003808073115005,0.8360789632671414,1116,195,197,13851
0.4,0.8582434514637904,0.8484386900228484,0.8533129069322098,0.98690018510608,0.013099814893919978,0.15156130997715156,0.8353388751289285,1114,184,199,13862
0.41,0.8649068322981367,0.8484386900228484,0.8565936178392927,0.9876121315677061,0.012387868432293891,0.15156130997715156,0.8360508215905545,1114,174,199,13872
0.42,0.8764752163650669,0.8484386900228484,0.8622291021671826,0.9888224405524705,0.011177559447529547,0.15156130997715156,0.8372611305753189,1114,157,199,13889
0.43,0.8790513833992095,0.8469154607768469,0.8626842513576417,0.9891072191371209,0.010892780862879111,0.15308453922315307,0.8360226799139677,1112,153,201,13893
0.44,0.8837579617834395,0.8453922315308454,0.8641494745036981,0.9896055816602591,0.01039441833974085,0.1546077684691546,0.8349978131911046,1110,146,203,13900
0.45,0.88871096877502,0.8453922315308454,0.8665105386416863,0.9901039441833974,0.009896055816602592,0.1546077684691546,0.8354961757142428,1110,139,203,13907
0.46,0.8962722852512156,0.8423457730388424,0.8684727129956813,0.9908870852911861,0.009112914708813898,0.15765422696115766,0.8332328583300285,1106,128,207,13918
0.47,0.9101401483924155,0.8408225437928408,0.8741092636579573,0.9922397835682757,0.007760216431724335,0.15917745620715917,0.8330623273611165,1104,109,209,13937
0.48,0.9153526970954357,0.8400609291698401,0.8760921366163622,0.992738146091414,0.007261853908586074,0.15993907083015993,0.8327990752612541,1103,102,210,13944
0.49,0.9199332777314428,0.8400609291698401,0.8781847133757962,0.9931653139683896,0.006834686031610423,0.15993907083015993,0.8332262431382297,1103,96,210,13950
0.5,0.924496644295302,0.8392993145468393,0.8798403193612774,0.9935924818453652,0.006407518154634771,0.1607006854531607,0.8328917963922045,1102,90,211,13956
