threshold,precision,recall,f1,specificity,false_alarm_rate,miss_rate,balanced_score,tp,fp,fn,tn
0.1,0.6313291139240507,0.7990654205607477,0.7053624042427814,0.9492116544358061,0.05078834556419385,0.20093457943925233,0.7482770749965538,1197,699,301,13064
0.11,0.6614958448753463,0.7970627503337784,0.7229791099000908,0.9556056092421711,0.044394390757828965,0.20293724966622162,0.7526683595759495,1194,611,304,13152
0.12,0.6968457943925234,0.7963951935914553,0.7433021806853582,0.9622901983579162,0.037709801642083846,0.20360480640854473,0.7586853919493715,1193,519,305,13244
0.13,0.715833835039133,0.7937249666221629,0.752769863880975,0.9657051514931337,0.03429484850686623,0.20627503337783712,0.7594301181152966,1189,472,309,13291
0.14,0.7387780548628429,0.7910547396528705,0.7640232108317214,0.9695560560924217,0.030443943907578288,0.2089452603471295,0.7606107957452922,1185,419,313,13344
0.15,0.7523809523809524,0.7910547396528705,0.7712333224861699,0.9716631548354283,0.02833684516457168,0.2089452603471295,0.7627178944882989,1185,390,313,13373
0.16,0.7625806451612903,0.7890520694259012,0.7755905511811023,0.9732616435370195,0.026738356462980454,0.2109479305740988,0.7623137129629207,1182,368,316,13395
0.17,0.7752956636005256,0.787716955941255,0.7814569536423841,0.975150766547991,0.02484923345200901,0.21228304405874499,0.7628677224892461,1180,342,318,13421
0.18,0.7831004657351963,0.7857142857142857,0.7844051982672443,0.9763133037855118,0.023686696214488122,0.21428571428571427,0.7620275894997975,1177,326,321,13437
0.19,0.7887323943661971,0.7850467289719626,0.7868852459016392,0.9771125481363075,0.02288745186369251,0.21495327102803738,0.7621592771082701,1176,315,322,13448
0.2,0.7945945945945946,0.7850467289719626,0.7897918065815983,0.9779117924871031,0.022088207512896897,0.21495327102803738,0.7629585214590657,1176,304,322,13459
0.21,0.8004087193460491,0.7843791722296395,0.7923128792987187,0.9787110368378987,0.021288963162101285,0.21562082777036048,0.7630902090675382,1175,293,323,13470
0.22,0.8015006821282401,0.7843791722296395,0.7928475033738192,0.9788563539925889,0.021143646007411174,0.21562082777036048,0.7632355262222283,1175,291,323,13472
0.23,0.8070054945054945,0.7843791722296395,0.7955314827352743,0.9795829397660394,0.02041706023396062,0.21562082777036048,0.7639621119956789,1175,281,323,13482
0.24,0.8116343490304709,0.7823765020026703,0.7967369136641741,0.9802368669621448,0.01976313303785512,0.21762349799732977,0.7626133689648151,1172,272,326,13491
0.25,0.8155880306193458,0.7823765020026703,0.7986371379897786,0.9807454770035603,0.01925452299643973,0.21762349799732977,0.7631219790062306,1172,265,326,13498
0.26,0.8178646196789952,0.7823765020026703,0.7997270556124191,0.9810361113129404,0.018963888687059508,0.21762349799732977,0.7634126133156107,1172,261,326,13502
0.27,0.8231148696264975,0.7797062750333779,0.8008227631127871,0.9817626970863911,0.018237302913608953,0.22029372496662217,0.7614689721197689,1168,251,330,13512
0.28,0.8277817150956768,0.7797062750333779,0.8030250945342042,0.9823439657051515,0.017656034294848508,0.22029372496662217,0.7620502407385293,1168,243,330,13520
0.29,0.8310762651461154,0.7783711615487316,0.8038607376766632,0.9827799171692219,0.017220082830778173,0.22162883845126835,0.7611510787179535,1166,237,332,13526
0.3,0.8378962536023055,0.7763684913217623,0.805959805959806,0.9836518200973625,0.016348179902637507,0.22363150867823764,0.7600203114191248,1163,225,335,13538
0.31,0.841534008683068,0.7763684913217623,0.8076388888888889,0.9840877715614328,0.015912228438567173,0.22363150867823764,0.7604562628831951,1163,219,335,13544
0.32,0.8462099125364432,0.7750333778371161,0.8090592334494774,0.9846690401801933,0.015330959819806728,0.22496662216288385,0.7597024180173094,1161,211,337,13552
0.33,0.8490842490842491,0.7736982643524699,0.8096402375130982,0.9850323330669185,0.01496766693308145,0.22630173564753003,0.7587305974193884,1159,206,339,13557
0.34,0.8552437223042836,0.7730307076101469,0.812061711079944,0.9857589188403691,0.014241081159630894,0.22696929238985314,0.7587896264505161,1158,196,340,13567
0.35,0.8603268945022289,0.7730307076101469,0.8143459915611816,0.9863401874591295,0.01365981254087045,0.22696929238985314,0.7593708950692765,1158,188,340,13575
0.36,0.8661181750186986,0.7730307076101469,0.816931216931217,0.986994114655235,0.01300588534476495,0.22696929238985314,0.7600248222653819,1158,179,340,13584
0.37,0.8700225394440271,0.7730307076101469,0.8186638388123011,0.9874300661193054,0.012569933880694616,0.22696929238985314,0.7604607737294523,1158,173,340,13590
0.38,0.873015873015873,0.7710280373831776,0.8188585607940446,0.9877933590060307,0.012206640993969339,0.22897196261682243,0.7588213963892083,1155,168,343,13595
0.39,0.8754745634016705,0.7696929238985314,0.819182948490231,0.9880839933154109,0.011916006684589116,0.23030707610146864,0.7577769172139422,1153,164,345,13599
0.4,0.8760456273764259,0.7690253671562083,0.819054390330608,0.9881566518927559,0.011843348107244061,0.23097463284379172,0.7571820190489642,1152,163,346,13600
0.41,0.8806426931905126,0.7683578104138852,0.8206773618538324,0.9886652619341714,0.011334738065828671,0.23164218958611482,0.7570230723480565,1151,156,347,13607
0.42,0.8829869130100076,0.7656875834445928,0.8201644619234895,0.9889558962435515,0.011044103756448449,0.23431241655540722,0.7546434796881443,1147,152,351,13611
0.43,0.8849420849420849,0.7650200267022697,0.8206229860365198,0.9891738719755867,0.010826128024413281,0.2349799732977303,0.7541938986778564,1146,149,352,13614
0.44,0.8861347792408986,0.7636849132176236,0.8203657224811762,0.9893191891302768,0.010680810869723171,0.2363150867823765,0.7530041023479004,1144,147,354,13616
0.45,0.8888024883359253,0.7630173564753004,0.8211206896551724,0.9896098234396571,0.010390176560342948,0.2369826435246996,0.7526271799149575,1143,143,355,13620
0.46,0.890015600624025,0.7616822429906542,0.820863309352518,0.9897551405943472,0.010244859405652838,0.2383177570093458,0.7514373835850015,1141,141,357,13622
0.47,0.8926332288401254,0.760347129506008,0.8211968276856524,0.9900457749037274,0.009954225096272615,0.23965287049399198,0.7503929044097354,1139,137,359,13626
0.48,0.8939512961508248,0.7596795727636849,0.8213641284734753,0.9901910920584175,0.009808907941582503,0.24032042723631508,0.7498706648221024,1138,135,360,13628
0.49,0.8951104100946372,0.7576769025367156,0.8206796818510483,0.9903364092131076,0.009663590786892393,0.24232309746328437,0.7480133117498232,1135,133,363,13630
0.5,0.8955696202531646,0.7556742323097463,0.8196958725561186,0.9904090677904527,0.009590932209547338,0.24432576769025366,0.746083300100199,1132,132,366,13631
